id,kode_accurate,woo_product_id,woo_sku_full,woo_name,is_active,created_at,updated_at,confidence_score,match_method,woo_variation_id,needs_review,triggered_by
4302,100043,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4303,100140,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4304,100133,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4305,101135,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4306,101136,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4307,100548,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4308,100697,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4309,100698,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4310,100699,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4311,101299,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4312,101391,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4313,101475,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4314,101112,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4315,101291,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4316,100008,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4317,100827,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4318,101050,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4319,101009,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4320,100840,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
